iter	Passed	Remaining
140	2855	17397
141	2876	17379
142	2896	17361
143	2918	17346
144	2938	17327
145	2958	17304
146	2979	17288
147	2999	17267
148	3021	17255
149	3041	17235
150	3062	17217
151	3082	17195
152	3102	17175
153	3124	17164
154	3145	17146
155	3167	17136
156	3188	17117
157	3208	17096
158	3227	17071
159	3247	17047
160	3266	17022
161	3287	17006
162	3308	16988
163	3328	16965
164	3347	16942
165	3368	16923
166	3387	16898
167	3406	16872
168	3426	16849
169	3447	16832
170	3467	16812
171	3488	16792
172	3508	16771
173	3528	16751
174	3550	16738
175	3570	16718
176	3590	16694
177	3610	16675
178	3632	16661
179	3652	16637
180	3671	16614
181	3692	16595
182	3711	16571
183	3732	16553
184	3752	16530
185	3772	16510
186	3792	16487
187	3812	16468
188	3834	16454
189	3855	16436
190	3875	16415
191	3895	16393
192	3915	16372
193	3936	16354
194	3956	16334
195	3976	16312
196	3996	16291
197	4017	16274
198	4037	16252
199	4059	16237
200	4079	16217
201	4099	16196
202	4121	16180
203	4141	16160
204	4161	16138
205	4181	16115
206	4201	16094
207	4221	16073
208	4241	16053
209	4262	16034
210	4282	16015
211	4302	15991
212	4322	15970
213	4342	15949
214	4362	15928
215	4383	15910
216	4404	15893
217	4423	15869
218	4444	15848
219	4465	15832
220	4485	15811
221	4505	15790
222	4526	15770
223	4546	15749
224	4566	15728
225	4586	15707
226	4607	15688
227	4627	15669
228	4648	15648
229	4668	15629
230	4688	15608
231	4709	15589
232	4729	15569
233	4750	15551
234	4770	15530
235	4791	15510
236	4811	15488
237	4830	15465
238	4850	15445
239	4871	15425
240	4892	15406
241	4912	15385
242	4934	15371
243	4954	15350
244	4975	15333
245	4995	15312
246	5016	15292
247	5037	15273
248	5058	15256
249	5079	15238
250	5100	15220
251	5121	15200
252	5141	15181
253	5163	15164
254	5184	15146
255	5205	15128
256	5226	15108
257	5246	15089
258	5267	15071
259	5287	15049
260	5309	15032
261	5331	15018
262	5352	14998
263	5372	14977
264	5393	14959
265	5414	14941
266	5435	14922
267	5458	14908
268	5479	14890
269	5500	14872
270	5522	14856
271	5545	14842
272	5566	14824
273	5589	14809
274	5611	14793
275	5635	14781
276	5658	14769
277	5679	14750
278	5701	14734
279	5723	14717
280	5746	14702
281	5769	14689
282	5794	14680
283	5818	14668
284	5839	14650
285	5861	14633
286	5882	14614
287	5904	14597
288	5927	14583
289	5950	14567
290	5971	14549
291	5994	14533
292	6016	14516
293	6038	14501
294	6062	14488
295	6084	14470
296	6107	14457
297	6131	14442
298	6151	14422
299	6172	14403
300	6195	14386
301	6217	14370
302	6238	14350
303	6259	14330
304	6281	14314
305	6302	14294
306	6323	14275
307	6344	14254
308	6365	14234
309	6386	14216
310	6408	14197
311	6431	14181
312	6451	14161
313	6473	14141
314	6495	14124
315	6516	14105
316	6537	14085
317	6557	14063
318	6577	14041
319	6597	14019
320	6618	13999
321	6638	13977
322	6658	13957
323	6679	13935
324	6699	13914
325	6718	13890
326	6738	13868
327	6757	13844
328	6777	13822
329	6797	13801
330	6818	13780
331	6837	13756
332	6863	13747
333	6886	13732
334	6909	13714
335	6929	13693
336	6949	13672
337	6970	13651
338	6991	13632
339	7011	13611
340	7034	13593
341	7054	13572
342	7074	13551
343	7094	13529
344	7115	13509
345	7136	13489
346	7157	13469
347	7177	13447
348	7198	13428
349	7218	13406
350	7238	13383
351	7257	13360
352	7278	13340
353	7299	13320
354	7318	13297
355	7338	13275
356	7359	13254
357	7380	13234
358	7400	13213
359	7420	13192
360	7440	13169
361	7461	13151
362	7482	13130
363	7503	13110
364	7523	13088
365	7543	13066
366	7563	13044
367	7583	13024
368	7603	13002
369	7624	12982
370	7646	12964
371	7666	12942
372	7686	12921
373	7706	12898
374	7726	12876
375	7746	12855
376	7765	12832
377	7784	12810
378	7804	12788
379	7824	12766
380	7844	12744
381	7864	12723
382	7885	12703
383	7905	12681
384	7927	12662
385	7946	12640
386	7966	12618
387	7985	12595
388	8005	12573
389	8023	12549
390	8045	12530
391	8065	12510
392	8086	12489
393	8105	12467
394	8125	12444
395	8144	12423
396	8163	12399
397	8183	12378
398	8203	12357
399	8224	12336
400	8243	12314
401	8263	12293
402	8284	12272
403	8304	12250
404	8323	12228
405	8343	12206
406	8363	12185
407	8382	12162
408	8401	12140
409	8421	12118
410	8439	12094
411	8459	12073
412	8479	12051
413	8499	12030
414	8518	12008
415	8538	11986
416	8557	11963
417	8577	11942
418	8596	11920
419	8616	11898
420	8636	11877
421	8655	11855
422	8675	11833
423	8697	11814
424	8716	11792
425	8735	11770
426	8755	11748
427	8775	11728
428	8794	11705
429	8813	11683
430	8832	11660
431	8853	11640
432	8871	11617
433	8890	11595
434	8910	11572
435	8929	11551
436	8949	11529
437	8969	11508
438	8988	11486
439	9007	11464
440	9027	11443
441	9048	11422
442	9068	11402
443	9087	11380
444	9108	11359
445	9127	11337
446	9147	11316
447	9167	11295
448	9186	11274
449	9207	11253
450	9227	11232
451	9246	11210
452	9265	11187
453	9284	11166
454	9304	11145
455	9323	11123
456	9343	11101
457	9362	11080
458	9381	11057
459	9400	11035
460	9420	11014
461	9440	10993
462	9459	10971
463	9478	10949
464	9498	10928
465	9520	10909
466	9541	10890
467	9561	10869
468	9581	10848
469	9604	10830
470	9624	10809
471	9645	10789
472	9666	10769
473	9687	10750
474	9707	10729
475	9728	10709
476	9748	10688
477	9768	10667
478	9787	10645
479	9806	10623
480	9826	10603
481	9846	10581
482	9866	10560
483	9886	10540
484	9906	10519
485	9926	10498
486	9947	10478
487	9967	10457
488	9988	10437
489	10007	10416
490	10028	10395
491	10047	10374
492	10066	10352
493	10088	10333
494	10107	10312
495	10130	10293
496	10149	10271
497	10168	10249
498	10187	10228
499	10207	10207
500	10227	10186
501	10246	10164
502	10267	10144
503	10287	10123
504	10306	10102
505	10326	10081
506	10346	10060
507	10366	10039
508	10385	10018
509	10404	9996
510	10424	9975
511	10444	9954
512	10464	9934
513	10483	9912
514	10503	9891
515	10523	9870
516	10542	9849
517	10562	9828
518	10582	9807
519	10602	9786
520	10621	9765
521	10641	9744
522	10661	9724
523	10681	9703
524	10702	9682
525	10721	9661
526	10740	9639
527	10759	9618
528	10779	9597
529	10800	9577
530	10821	9558
531	10848	9543
532	10871	9525
533	10894	9507
534	10915	9486
535	10935	9466
536	10956	9446
537	10977	9426
538	10998	9406
539	11019	9386
540	11038	9365
541	11059	9345
542	11080	9325
543	11101	9305
544	11121	9285
545	11141	9264
546	11161	9243
547	11181	9222
548	11202	9202
549	11221	9181
550	11240	9160
551	11260	9139
552	11280	9118
553	11300	9097
554	11319	9076
555	11338	9054
556	11358	9033
557	11379	9013
558	11399	8992
559	11419	8972
560	11439	8951
561	11459	8930
562	11478	8909
563	11499	8889
564	11519	8869
565	11539	8848
566	11560	8828
567	11580	8807
568	11602	8788
569	11622	8767
570	11643	8747
571	11662	8726
572	11683	8706
573	11704	8686
574	11723	8665
575	11743	8644
576	11764	8624
577	11783	8603
578	11803	8582
579	11822	8561
580	11841	8539
581	11861	8518
582	11881	8498
583	11900	8477
584	11920	8456
585	11940	8435
586	11959	8414
587	11980	8394
588	12001	8374
589	12021	8354
590	12041	8333
591	12060	8312
592	12080	8291
593	12101	8271
594	12121	8250
595	12140	8229
596	12160	8208
597	12180	8187
598	12200	8167
599	12219	8146
600	12239	8125
601	12259	8105
602	12278	8084
603	12297	8062
604	12317	8041
605	12336	8020
606	12355	7999
607	12375	7978
608	12393	7957
609	12413	7936
610	12434	7916
611	12454	7895
612	12474	7875
613	12494	7855
614	12516	7835
615	12536	7814
616	12556	7794
617	12576	7773
618	12596	7753
619	12617	7733
620	12636	7712
621	12656	7691
622	12676	7670
623	12698	7651
624	12718	7631
625	12739	7610
626	12758	7590
627	12781	7571
628	12802	7551
629	12821	7530
630	12841	7509
631	12862	7489
632	12883	7469
633	12903	7449
634	12922	7428
635	12941	7406
636	12961	7386
637	12982	7366
638	13002	7345
639	13023	7325
640	13043	7305
641	13064	7285
642	13086	7265
643	13106	7245
644	13126	7224
645	13147	7204
646	13167	7183
647	13188	7163
648	13208	7143
649	13228	7122
650	13247	7102
651	13267	7081
652	13289	7061
653	13308	7041
654	13329	7020
655	13350	7000
656	13370	6980
657	13391	6960
658	13411	6939
659	13430	6918
660	13450	6898
661	13471	6878
662	13492	6858
663	13512	6837
664	13532	6817
665	13552	6796
666	13571	6775
667	13591	6755
668	13611	6734
669	13631	6714
670	13652	6693
671	13672	6673
672	13694	6653
673	13714	6633
674	13735	6613
675	13755	6593
676	13776	6572
677	13796	6552
678	13817	6532
679	13836	6511
680	13856	6490
681	13876	6470
682	13896	6449
683	13915	6428
684	13935	6408
685	13954	6387
686	13974	6366
687	13994	6346
688	14013	6325
689	14032	6304
690	14052	6283
691	14072	6263
692	14092	6243
693	14112	6222
694	14132	6201
695	14151	6181
696	14172	6161
697	14191	6140
698	14213	6120
699	14232	6099
700	14251	6078
701	14270	6057
702	14289	6037
703	14310	6016
704	14330	5996
705	14349	5975
706	14371	5955
707	14390	5935
708	14411	5915
709	14430	5894
710	14449	5873
711	14469	5852
712	14488	5832
713	14509	5811
714	14528	5791
715	14548	5770
716	14569	5750
717	14588	5729
718	14608	5709
719	14627	5688
720	14647	5668
721	14667	5647
722	14687	5627
723	14708	5607
724	14727	5586
725	14747	5566
726	14767	5545
727	14786	5524
728	14806	5504
729	14826	5483
730	14846	5463
731	14866	5442
732	14885	5422
733	14905	5401
734	14924	5381
735	14945	5360
736	14966	5340
737	14988	5321
738	15008	5300
739	15028	5280
740	15047	5259
741	15068	5239
742	15087	5218
743	15107	5198
744	15127	5177
745	15147	5157
746	15167	5137
747	15188	5116
748	15207	5096
749	15226	5075
750	15247	5055
751	15268	5035
752	15287	5014
753	15306	4994
754	15327	4973
755	15347	4953
756	15367	4933
757	15386	4912
758	15406	4891
759	15425	4871
760	15445	4850
761	15464	4830
762	15486	4810
763	15505	4789
764	15525	4769
765	15544	4748
766	15564	4728
767	15586	4708
768	15605	4687
769	15625	4667
770	15646	4647
771	15666	4626
772	15686	4606
773	15705	4585
774	15725	4565
775	15745	4545
776	15766	4524
777	15785	4504
778	15805	4483
779	15824	4463
780	15845	4443
781	15866	4423
782	15887	4402
783	15909	4383
784	15929	4362
785	15950	4342
786	15970	4322
787	15991	4302
788	16010	4281
789	16030	4261
790	16052	4241
791	16071	4220
792	16091	4200
793	16111	4179
794	16131	4159
795	16152	4139
796	16172	4119
797	16192	4098
798	16211	4078
799	16231	4057
800	16251	4037
801	16273	4017
802	16292	3997
803	16312	3976
804	16333	3956
805	16352	3936
806	16373	3915
807	16392	3895
808	16413	3875
809	16432	3854
810	16452	3834
811	16473	3814
812	16494	3793
813	16515	3773
814	16536	3753
815	16556	3733
816	16576	3712
817	16596	3692
818	16616	3672
819	16636	3651
820	16657	3631
821	16676	3611
822	16696	3590
823	16717	3570
824	16737	3550
825	16757	3530
826	16777	3509
827	16797	3489
828	16816	3468
829	16835	3448
830	16854	3427
831	16874	3407
832	16893	3386
833	16913	3366
834	16933	3346
835	16953	3325
836	16974	3305
837	16994	3285
838	17014	3265
839	17034	3244
840	17054	3224
841	17073	3203
842	17094	3183
843	17114	3163
844	17134	3143
845	17154	3122
846	17174	3102
847	17194	3082
848	17215	3061
849	17236	3041
850	17255	3021
851	17275	3000
852	17297	2980
853	17317	2960
854	17337	2940
855	17358	2920
856	17379	2899
857	17400	2879
858	17421	2859
859	17440	2839
860	17462	2819
861	17482	2798
862	17503	2778
863	17523	2758
864	17542	2737
865	17562	2717
866	17582	2697
867	17602	2676
868	17623	2656
869	17645	2636
870	17665	2616
871	17685	2596
872	17706	2575
873	17726	2555
874	17746	2535
875	17765	2514
876	17785	2494
877	17806	2474
878	17827	2454
879	17847	2433
880	17867	2413
881	17886	2393
882	17907	2372
883	17928	2352
884	17949	2332
885	17970	2312
886	17990	2291
887	18011	2271
888	18031	2251
889	18051	2231
890	18072	2210
891	18093	2190
892	18115	2170
893	18136	2150
894	18157	2130
895	18177	2109
896	18197	2089
897	18219	2069
898	18239	2049
899	18261	2029
900	18282	2008
901	18303	1988
902	18324	1968
903	18344	1948
904	18364	1927
905	18386	1907
906	18407	1887
907	18427	1867
908	18448	1846
909	18467	1826
910	18488	1806
911	18508	1785
912	18527	1765
913	18548	1745
914	18569	1725
915	18590	1704
916	18611	1684
917	18631	1664
918	18651	1643
919	18673	1623
920	18693	1603
921	18713	1583
922	18735	1562
923	18755	1542
924	18776	1522
925	18798	1502
926	18818	1481
927	18839	1461
928	18860	1441
929	18883	1421
930	18904	1401
931	18924	1380
932	18944	1360
933	18965	1340
934	18985	1319
935	19006	1299
936	19028	1279
937	19050	1259
938	19071	1238
939	19092	1218
940	19113	1198
941	19134	1178
942	19157	1157
943	19178	1137
944	19202	1117
945	19240	1098
946	19273	1078
947	19299	1058
948	19325	1038
949	19351	1018
950	19377	998
951	19406	978
952	19431	958
953	19456	938
954	19479	917
955	19506	897
956	19531	877
957	19557	857
958	19586	837
959	19616	817
960	19647	797
961	19672	777
962	19699	756
963	19728	736
964	19756	716
965	19785	696
966	19809	676
967	19835	655
968	19862	635
969	19889	615
970	19917	594
971	19946	574
972	19973	554
973	20001	533
974	20027	513
975	20054	493
976	20079	472
977	20104	452
978	20129	431
979	20155	411
980	20183	390
981	20209	370
982	20236	349
983	20259	329
984	20284	308
985	20310	288
986	20336	267
987	20361	247
988	20387	226
989	20411	206
990	20440	185
991	20472	165
992	20500	144
993	20527	123
994	20552	103
995	20580	82
996	20607	62
997	20631	41
998	20658	20
999	20686	0
